Languages,language_code
Kuo,xuo
Krobu,kxb
Mbato,gwa
Ebrié,ebr
Tafi,tcd
Nyangbo,nyb
Siwu,akp
Lelemi,lef
Sekpele,lip
Selee,snw
Waci Gbe,wci
Kpessi,kef
Ewe,ewe
Aguna,aug
Adangbe,adq
Wudu,wud
Gun,guw
Defi Gbe,gbh
Weme Gbe,wem
Fon,fon
Ci Gbe,cib
Maxi Gbe,mxl
Ayizo Gbe,ayb
Xwela Gbe,xwe
Gbesi Gbe,gbs
Kotafon Gbe,kqk
Western Xwla Gbe,xwl
Saxwe Gbe,sxw
Eastern Xwla Gbe,gbx
Tofin Gbe,tfi
Irigwe,iri
Bete (Yukubenic),byf
Lufu,ldq
Akum,aku
Toro,tdv
Ikulu,ikl
Kadara,kad
Ejuele,dbi
Shall-Zwall,sha
Sur,tdl
Yangkam,bsx
Koro Nulu,vkn
Nungu,rin
Aninka,aqk
Bu,jid
Numana,nbr
Ayu,ayu
Horom,hoe
Fyam,pym
Isekiri,its
Izi-Ezaa-Ikwo-Mgbo,izi
Ika,ikk
Ukwuani-Aboh-Ndoni,ukw
Igbo,ibo
Cicipu,awc
Laru (Nigeria),lan
Eleme,elm
Baan,bvj
Gokana,gkn
Usaghade,usk
Kugbo,kes
Ogbia,ogb
Obulom-Ochichi,obu
Odual,odu
Abua,abn
Abureni,mgj
Ogbogolo,ogg
Korop,krp
Kiong,kkm
Iyongiyong,bbs
Robambami,ibm
Deko-Dusanga,uya
Koro Zuba,vkz
Asu (Nigeria),aum
Nupe-Nupe-Tako,nup
Gbagyi,gbr
Gbari,gby
Etulo,utr
Kpan,kpk
Etkywan,ich
Tigon Mbembe,nza
Ndoola,ndr
Kenyang,ken
Menchum,bby
Ambele,ael
Bekwarra,bkv
Mbonga,xmb
Nagumi,ngv
Bikya,byb
Mbe,mfo
Esimbi,ags
Mesaka,iyo
Mungbam,mij
Koshin,kid
Fang (Cameroon),fak
Ajumbu,muc
Epie,epi
Uvbie,evh
Okpe (Southwestern Edo),oke
Isoko,iso
Eruwa,erh
Urhobo,urh
Adamawa Fulfulde,fub
Bagirmi Fulfulde,fui
Jola-Fonyi,dyo
Mankanya,knf
Herde,hed
Ngete,nnn
Lele (Chad),lln
Nancere,nnc
Tobanga,tng
Kabalai,kvf
Mabire,muj
Kajakse,ckq
Zirenkel,zrn
Mubi,mub
Masmaje,mes
Ngizim,ngi
Zumbun,jmb
Mburku,bbt
Ciwogai,tgd
Belneng,glb
Ngas,anc
Mwaghavul,sur
Tambas,tdk
Fyer,fie
Ron,cla
Sya,scw
Kulere,kul
Jara,jaf
Tera,ttr
Ga'anda,gqa
Hwana,hwo
Boga,bvw
Bata,bta
Bacama,bcy
Cuvok,cuv
Mefele,mfj
Buwal,bhs
Gavar,gou
Mazagway,dkx
Daba,dbq
Bana,bcw
Mbara (Chad),mpk
Musgu,mug
South Giziga,giz
North Giziga,gis
Mser,kqx
Lagwan,kot
Jina,jia
Majera,xmj
Ouargli,oua
Oued Righ,tjo
Yaaku,muu
Gedeo,drs
Sidamo,sid
Alagwa,wbj
Argobba,agj
Amharic,amh
Zay,zwa
Harari,har
Loma (Liberia),lom
Toma,tod
Jenaama Bozo,bze
Seeku,sos
Ngen of Djonkro,gnj
Beng,nhb
Yaouré,yre
Guro,goa
Dan,daf
Shanga,sho
Kyenga,tye
Busa,bqp
Boko (Benin),bqc
Bokobaru,bus
/Gwi,gwj
//Gana,gnk
Dissa-Canton Mufa,dsi
Kulfa,kxj
Furu,fuu
Ngambay,sba
Horo,hor
Gulay,gvl
Sar,mwm
Jaya,jyy
Gélé (Dar Fongoro),fgr
Tepo Krumen,ted
Plapo Krumen,ktj
Northern Grebo,gbo
Wè Southern,gxx
Wè Western,wec
Okolie,oie
Dongotono,ddd
Ngbaka Minagende,nga
Gbaya-Bozoum,gbq
Shempire Senoufo,seb
Syenara Senoufo,shz
Bolgo,bvo
Koke,kou
Bon Gula,glc
Niellim,nie
Noy,noy
Turka,tuz
Cerma,cme
Lobi,lob
Dyan,dya
Khe,kqg
Dogoso,dgs
Kaansa,gna
Waja,wja
Voro,vor
Bena (Nigeria),yun
Rang,rax
Pangseng,pgs
Mumuye,mzm
Peere,pfe
Longto,wok
Nimbari,nmr
Doyayo,dow
Zande,zne
Geme,geq
Nzakara,nzk
Pambia,pmb
Barambu,brm
Dongo,doo
Gbayi,gyg
Mbandja,zmz
West Central Banda,bbp
Ngbundu,nuu
Mündü,muh
Mangayat,myj
Feroge,fer
Ndai,gke
Dama (Cameroon),dmm
Mambai,mcs
Tupuri,tui
Karang,kzr
Nzakambay,nzy
Tha,thy
Moo,gwg
Leelau,ldk
Kyak,bka
Burak,bys
Loo,ldo
Mak (Nigeria),pbl
Mághdì,gmd
Abure,abu
Beti (Côte d'Ivoire),eot
Beezen,bnz
Arum,aab
Hasha,ybj
Sambe,xab
Lijili,mgi
Rjili,uji
Eggon,ego
Akye,aik
Kuturmi,khj
Idon,idc
Tiyaa,tyy
Pye,pai
Tarok,yer
Kagoma,kdm
Kamantan,kci
Nyankpa,yes
Kyoli,cry
Shamang,xsh
Hyam,jab
Che,ruk
Ningye,nns
Kaningdon-Nindem,kdp
Kanufi,kni
Mokole,mkl
Izi,izz
Mgbo,gmz
Ezaa,eza
Ikwo,iqw
Pongu,png
Fungwa,ula
Bauchi,bsf
Gurmana,gvm
Hungworo,nat
Damakawa,dam
C'lela,dri
Hun-Saare,dud
Basa (Nigeria),bzw
Lopa,lop
Cuba,cbq
Tee,tkq
Khana,ogo
Ilue,ilv
Okobo,okb
Efai,efa
O'chi'chi',xoc
Olulumo-Ikom,iko
Kupa,kug
Kakanda,kka
Yala,yba
Alago,ala
Wannu,jub
Nizaa,sgi
Sama Mum,ccg
Gaa,ttb
Dong,doh
Denya,anv
Kendem,kvm
Ndemli,nml
Bokyi,bky
Utugwang-Irungene-Afrike,afe
Bumaji,byp
Kulung (Nigeria),bbu
Lame,bma
Mama,mma
Ndoe,nbb
Bitare,brt
Batu,btu
Ambo,amb
Abon,abo
Yeyi,yey
Bube,bvb
Seki,syi
Mundabli-Mufu,boe
Degema,deg
Egene,enn
Ghotuo,aaa
Esan,ish
Bini,bin
Uhami,uha
Iyayu,iya
Ososo,oso
Okpamheri,opa
Oloma,olm
Kugere-Kuxinge,bda
Jola-Esulalu,csk
Gusilay,gsl
Bandial,bqj
Papel,pbo
Mandjak,mfv
Kimre,kqp
Gabri,gab
Sarua,swy
Somrai,sor
Ndam,ndm
Tumak,tmc
Mire,mvh
Sokoro,sok
Tamki,tax
Saba,saa
